# test_for_audio_implicit_full — FULL-RES (256x512) results

Radial depth, scene_split (72/9/9), loaded from actual files at 256x512 (no 64x128 downsampling). cos-lat weighted metrics. seed = mean ± std.

**Progress: 340/351 trained runs evaluated (of 93 total jobs).**

| model (seed-grouped) | n | test MAE ↓ | MAE_plain | (64×128 plain) | MAE_low | δ<1.25 ↑ | shuffle MAE | mirror_better |
| A11_shaux | 3 | 0.9586 ± 0.0079 | 0.8040 ± 0.0072 | 0.7825 | 0.9206 ± 0.0077 | 0.408 ± 0.003 | 1.1157 ± 0.0054 | 0.305 ± 0.002 |
| C_unet8_coarseres_5chflip | 3 | 0.9594 ± 0.0161 | 0.7999 ± 0.0135 | — | 0.9205 ± 0.0161 | 0.413 ± 0.004 | 1.1086 ± 0.0063 | 0.448 ± 0.070 |
| A2_raymlp | 3 | 0.9595 ± 0.0069 | 0.8047 ± 0.0063 | 0.8267 | 0.9216 ± 0.0068 | 0.409 ± 0.004 | 1.0987 ± 0.0057 | 0.306 ± 0.011 |
| A14_logmag | 2 | 0.9600 ± 0.0046 | 0.8057 ± 0.0022 | 0.7879 | 0.9224 ± 0.0042 | 0.410 ± 0.001 | 1.1337 ± 0.0126 | 0.295 ± 0.006 |
| C_unet8_coarse32_5chflip | 3 | 0.9605 ± 0.0084 | 0.8009 ± 0.0055 | — | 0.9219 ± 0.0079 | 0.413 ± 0.005 | 1.1206 ± 0.0240 | 0.442 ± 0.063 |
| A16_raymod8x16 | 3 | 0.9619 ± 0.0058 | 0.8077 ± 0.0038 | 0.7781 | 0.9230 ± 0.0060 | 0.415 ± 0.006 | 1.1189 ± 0.0096 | 0.308 ± 0.009 |
| A16_raymod_fv | 3 | 0.9627 ± 0.0156 | 0.8084 ± 0.0130 | 0.7741 | 0.9240 ± 0.0151 | 0.417 ± 0.005 | 1.1256 ± 0.0027 | 0.312 ± 0.019 |
| A13_ipd5 | 1 | 0.9630 | 0.8084 | 0.7811 | 0.9245 | 0.411 | 1.1279 | 0.314 |
| Q_rd_rel13 | 1 | 0.9652 | 0.8131 | — | 0.9299 | 0.413 | — | 0.282 |
| U_unet8_scale2 | 1 | 0.9685 | 0.8065 | — | 0.9300 | 0.412 | — | 0.373 |
| A18_raymod64reg | 2 | 0.9705 ± 0.0118 | 0.8121 ± 0.0079 | 0.7766 | 0.9315 ± 0.0117 | 0.414 ± 0.001 | 1.1201 ± 0.0067 | 0.322 ± 0.005 |
| Q10_vit_scratch | 1 | 0.9722 | 0.8141 | — | 0.9336 | 0.401 | — | 0.328 |
| A20_unet64_aug | 3 | 0.9734 ± 0.0035 | 0.8166 ± 0.0034 | 0.7653 | 0.9349 ± 0.0037 | 0.416 ± 0.003 | 1.1313 ± 0.0062 | 0.319 ± 0.005 |
| Bnode2_hybrid5ch | 3 | 0.9736 ± 0.0085 | 0.8233 ± 0.0070 | — | 0.9361 ± 0.0084 | 0.396 ± 0.003 | 1.1499 ± 0.0191 | 0.300 ± 0.003 |
| A21_raymodStrong_aug | 3 | 0.9762 ± 0.0387 | 0.8179 ± 0.0311 | 0.7674 | 0.9376 ± 0.0389 | 0.403 ± 0.021 | 1.0963 ± 0.0209 | 0.364 ± 0.082 |
| Q14_gamma_p10_scale10 | 1 | 0.9788 | 0.8108 | — | 0.9394 | 0.455 | — | 0.256 |
| A18_unet64reg_fv | 3 | 0.9813 ± 0.0028 | 0.8222 ± 0.0027 | 0.7713 | 0.9422 ± 0.0031 | 0.411 ± 0.002 | 1.1299 ± 0.0111 | 0.324 ± 0.001 |
| A15_bigunet_fv | 3 | 0.9818 ± 0.0095 | 0.8220 ± 0.0073 | 0.7757 | 0.9425 ± 0.0086 | 0.410 ± 0.001 | 1.1248 ± 0.0095 | 0.323 ± 0.013 |
| A15_bigunet | 3 | 0.9825 ± 0.0070 | 0.8225 ± 0.0065 | 0.7729 | 0.9433 ± 0.0063 | 0.409 ± 0.003 | 1.1224 ± 0.0040 | 0.334 ± 0.009 |
| Aunet | 3 | 0.9889 ± 0.0048 | 0.8287 ± 0.0034 | 0.7745 | 0.9503 ± 0.0046 | 0.406 ± 0.003 | 1.1314 ± 0.0197 | 0.332 ± 0.015 |
| A18_unet64reg | 3 | 0.9896 ± 0.0086 | 0.8290 ± 0.0050 | 0.7754 | 0.9509 ± 0.0084 | 0.405 ± 0.002 | 1.1276 ± 0.0184 | 0.338 ± 0.012 |
| Q14_gamma_p10 | 1 | 0.9912 | 0.8239 | — | 0.9508 | 0.430 | — | 0.279 |
| Bnode2_foa_unet8 | 2 | 0.9925 ± 0.0002 | 0.8195 ± 0.0006 | — | 0.9548 ± 0.0000 | 0.404 ± 0.004 | — | 0.498 ± 0.007 |
| Bnode2_cross_vitenc | 2 | 1.0222 ± 0.0073 | 0.8547 ± 0.0064 | — | 0.9841 ± 0.0076 | 0.377 ± 0.006 | 1.0586 | 0.475 ± 0.026 |
| Q10_vit_frozen | 1 | 1.0242 | 0.8639 | — | 0.9848 | 0.374 | — | 0.356 |
| Bnode2_rayconv5d | 3 | 1.0415 ± 0.0233 | 0.8765 ± 0.0256 | — | 1.0032 ± 0.0239 | 0.371 ± 0.011 | 1.0838 ± 0.0113 | 0.497 ± 0.004 |
| Q14_gamma_p15 | 1 | 1.1150 | 0.9012 | — | 1.0763 | 0.431 | — | 0.279 |
| A4_cross_shuf | 1 | 1.1478 | 0.9793 | — | 1.1125 | 0.338 | 1.1478 | 0.488 |
| A2_shuf | 2 | 1.1497 ± 0.0004 | 0.9823 ± 0.0004 | — | 1.1146 ± 0.0005 | 0.339 ± 0.001 | 1.1497 ± 0.0004 | 0.502 ± 0.007 |
| A1_rayonly | 2 | 1.1510 ± 0.0048 | 0.9832 ± 0.0067 | — | 1.1156 ± 0.0046 | 0.343 ± 0.001 | 1.1510 ± 0.0048 | 0.501 ± 0.000 |

## Probabilistic coarse head (prob_eval.json)

| run | keys |
|---|---|
| P_5ch_k5_s0 | mean_of_K=0.85, best_of_K=0.6828, best_of_K_ctrl=0.7188, oracle_gain=0.1672, oracle_gain_ctrl=0.1312, real_multimodal_gain=0.036, diversity=0.62, uncert_corr=0.7031, baseline_det=0.78, vs_baseline_mea |
| P_5ch_k5_s1 | mean_of_K=0.8512, best_of_K=0.6804, best_of_K_ctrl=0.7468, oracle_gain=0.1709, oracle_gain_ctrl=0.1044, real_multimodal_gain=0.0664, diversity=0.6044, uncert_corr=0.6913, baseline_det=0.78, vs_baselin |
| P_5ch_k5_s2 | mean_of_K=0.8532, best_of_K=0.6852, best_of_K_ctrl=0.7286, oracle_gain=0.168, oracle_gain_ctrl=0.1245, real_multimodal_gain=0.0435, diversity=0.6198, uncert_corr=0.6643, baseline_det=0.78, vs_baseline |
| P_k1 | mean_of_K=0.8174, best_of_K=0.8174, best_of_K_ctrl=0.8635, oracle_gain=0.0, oracle_gain_ctrl=-0.0462, real_multimodal_gain=0.0462, diversity=nan, uncert_corr=0.6441, baseline_det=0.78, vs_baseline_mea |
| P_k10 | mean_of_K=0.8601, best_of_K=0.6379, best_of_K_ctrl=0.6365, oracle_gain=0.2223, oracle_gain_ctrl=0.2236, real_multimodal_gain=-0.0013, diversity=0.6693, uncert_corr=0.6896, baseline_det=0.78, vs_baseli |
| P_k5 | mean_of_K=0.8498, best_of_K=0.6799, best_of_K_ctrl=0.6865, oracle_gain=0.1699, oracle_gain_ctrl=0.1633, real_multimodal_gain=0.0066, diversity=0.6001, uncert_corr=0.6603, baseline_det=0.78, vs_baselin |

_Pending eval (11): A13_ipd5_s1, A13_ipd5_s2, Bnode2_cross_hitok_s1, Bnode2_cross_vitenc_s0, Bnode2_crossself_flip_s0, P_5ch_k5_s0, P_5ch_k5_s1, P_5ch_k5_s2, P_k1, P_k10, P_k5_

[agg] wrote RESULTS_full.md (340 runs, 214 groups)
